Paper title,Paper eid,Paper doi,Citing paper title,Citing paper eid,Citing paper doi
The Tell-Tale Cube,2-s2.0-85090100247,10.1007/978-3-030-54832-2_16,Supporting the generation of data narratives,2-s2.0-85095734112,
Towards conversational OLAP,2-s2.0-85082444588,,Describing and Assessing Cubes Through Intentional Analytics,2-s2.0-85165002810,10.48786/edbt.2023.69
Towards conversational OLAP,2-s2.0-85082444588,,Querying multidimensional big data through a chatbot system,2-s2.0-85130336561,10.1145/3477314.3507692
Towards conversational OLAP,2-s2.0-85082444588,,Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3
Towards conversational OLAP,2-s2.0-85082444588,,COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752
Towards conversational OLAP,2-s2.0-85082444588,,Describing Multidimensional Data Through Highlights (Discussion Paper),2-s2.0-85137469232,
Towards conversational OLAP,2-s2.0-85082444588,,Talk to Your Data: a Chatbot System for Multidimensional Datasets,2-s2.0-85136956557,10.1109/COMPSAC54236.2022.00092
Towards conversational OLAP,2-s2.0-85082444588,,Optimally summarizing data by small fact sets for concise answers to voice queries,2-s2.0-85112863874,10.1109/ICDE51399.2021.00151
Towards conversational OLAP,2-s2.0-85082444588,,Robust voice querying with muve: Optimally visualizing results of phonetically similar queries,2-s2.0-85119675888,10.14778/3476249.3476289
Towards conversational OLAP,2-s2.0-85082444588,,Conversational OLAP in action,2-s2.0-85113716450,10.5441/002/edbt.2021.74
Towards conversational OLAP,2-s2.0-85082444588,,Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12
Towards conversational OLAP,2-s2.0-85082444588,,Demonstrating Robust Voice Querying with MUVE: Optimally Visualizing Results of Phonetically Similar Queries,2-s2.0-85108966804,10.1145/3448016.3452753
Towards conversational OLAP,2-s2.0-85082444588,,The Tell-Tale Cube,2-s2.0-85090100247,10.1007/978-3-030-54832-2_16
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",2-s2.0-85070525370,10.1007/s13278-019-0590-x,Conceptualizing Analytics:An Overview of Business Intelligence and Analytics from a Conceptual-Modeling Perspective,2-s2.0-85161865197,10.1007/978-3-662-65004-2_13
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",2-s2.0-85070525370,10.1007/s13278-019-0590-x,Free choice in the making: Vaccine-related activism as an alternative form of citizenship during the Covid-19 pandemic.,2-s2.0-85147657571,10.1285/i20356609v15i3p697
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",2-s2.0-85070525370,10.1007/s13278-019-0590-x,Parents’ decisions to vaccinate children against covid-19: A scoping review,2-s2.0-85121534481,10.3390/vaccines9121476
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",2-s2.0-85070525370,10.1007/s13278-019-0590-x,Multi-perspectives systematic review on the applications of sentiment analysis for vaccine hesitancy,2-s2.0-85117894540,10.1016/j.compbiomed.2021.104957
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",2-s2.0-85070525370,10.1007/s13278-019-0590-x,COVID-19 fake news diffusion across Latin America,2-s2.0-85106274858,10.1007/s13278-021-00753-z
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",2-s2.0-85070525370,10.1007/s13278-019-0590-x,Understanding public perceptions of COVID-19 contact tracing apps: Artificial intelligence-enabled social media analysis,2-s2.0-85106469791,10.2196/26618
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",2-s2.0-85070525370,10.1007/s13278-019-0590-x,#Antivaccination on instagram: A computational analysis of hashtag activism through photos and public responses,2-s2.0-85092658500,10.3390/ijerph17207550
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,2-s2.0-85070329171,10.23919/MIPRO.2019.8757119,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,2-s2.0-85070329171,10.23919/MIPRO.2019.8757119,User-centered road network traffic analysis with MobilityDB,2-s2.0-85136515209,10.1111/tgis.12972
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,2-s2.0-85070329171,10.23919/MIPRO.2019.8757119,Fast and Distributed Map-Matching Based on Contraction Hierarchies,2-s2.0-85124421879,10.7544/issn1000-1239.20210904
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,2-s2.0-85070329171,10.23919/MIPRO.2019.8757119,A Systematic Review of Deep Learning Architectures in Traffic Congestion Prediction,2-s2.0-85143304438,
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,2-s2.0-85070329171,10.23919/MIPRO.2019.8757119,Traffic Congestion Forecasting in Shanghai Based on Multi-Period Hotspot Clustering,2-s2.0-85083733398,10.1109/ACCESS.2020.2983184
Augmented business intelligence,2-s2.0-85062645475,,HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035
Augmented business intelligence,2-s2.0-85062645475,,COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752
Augmented business intelligence,2-s2.0-85062645475,,mRAT-SQL+GAP: A Portuguese Text-to-SQL Transformer,2-s2.0-85121778825,10.1007/978-3-030-91699-2_35
Augmented business intelligence,2-s2.0-85062645475,,Conversational OLAP,2-s2.0-85118769792,
Augmented business intelligence,2-s2.0-85062645475,,Conversational OLAP in action,2-s2.0-85113716450,10.5441/002/edbt.2021.74
Augmented business intelligence,2-s2.0-85062645475,,A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520
Augmented business intelligence,2-s2.0-85062645475,,Towards conversational OLAP,2-s2.0-85082444588,
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,2-s2.0-85051863772,,Summarization and visualization of multi-level and multi-dimensional itemsets,2-s2.0-85079239065,10.1016/j.ins.2020.02.006
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,A Collective Adaptive Approach to Decentralised k-Coverage in Multi-robot Systems,2-s2.0-85145352614,10.1145/3547145
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Self-stabilising Priority-Based Multi-Leader Election and Network Partitioning,2-s2.0-85142355054,10.1109/ACSOS55765.2022.00026
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,TIME-FLUID FIELD-BASED COORDINATION THROUGH PROGRAMMABLE DISTRIBUTED SCHEDULERS,2-s2.0-85122034807,10.46298/LMCS-17(4:13)2021
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Simulation of Large Scale Computational Ecosystems with Alchemist: A Tutorial,2-s2.0-85111122280,10.1007/978-3-030-78198-9_10
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Engineering collective intelligence at the edge with aggregate processes,2-s2.0-85095974840,10.1016/j.engappai.2020.104081
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Field-based coordination with the share operator,2-s2.0-85092507655,10.23638/LMCS-16(4:1)2020
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Partitioned integration and coordination via the self-organising coordination regions pattern,2-s2.0-85089073530,10.1016/j.future.2020.07.032
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Time-fluid field-based coordination,2-s2.0-85087001715,10.1007/978-3-030-50029-0_13
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,From distributed coordination to field calculus and aggregate computing,2-s2.0-85081991187,10.1016/j.jlamp.2019.100486
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Modelling and simulation of Opportunistic IoT Services with Aggregate Computing,2-s2.0-85053778744,10.1016/j.future.2018.09.005
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,The share operator for field-based coordination,2-s2.0-85067426015,10.1007/978-3-030-22397-7_4
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,From field-based coordination to aggregate computing,2-s2.0-85048884985,10.1007/978-3-319-92408-3_12
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Practical Aggregate Programming with Protelis,2-s2.0-85035242264,10.1109/FAS-W.2017.186
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,10.1109/FAS-W.2017.116,Self-Stabilising Target Counting in Wireless Sensor Networks Using Euler Integration,2-s2.0-85035210635,10.1109/SASO.2017.10
