Paper title,Paper eid,Paper doi,Citing paper title,Citing paper eid,Citing paper doi
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Addressing Data Challenges to Drive the Transformation of Smart Cities,2-s2.0-85209239146,10.1145/3663482
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,BiGRU-DP: Improved differential privacy protection method for trajectory data publishing,2-s2.0-85194350916,10.1016/j.eswa.2024.124264
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Location Privacy Protection for the Internet of Things with Edge Computing Based on Clustering K-Anonymity,2-s2.0-85205305848,10.3390/s24186153
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Federated Genetic Algorithm: Two-Layer Privacy-Preserving Trajectory Data Publishing,2-s2.0-85206889151,10.1145/3638529.3654200
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,A privacy-preserving vehicle trajectory clustering framework,2-s2.0-85199898896,10.1631/FITEE.2300369
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,CTPP: A Conditional Trajectory Privacy Preservation Scheme Using Blockchain in V2X,2-s2.0-85188906155,10.1109/JIOT.2024.3380619
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,A three-way trajectory privacy-preserving model based on multi-feature fusion,2-s2.0-85190104979,10.1016/j.asoc.2024.111591
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Efficient Frequency-Based Randomization for Spatial Trajectories Under Differential Privacy,2-s2.0-85174857113,10.1109/TKDE.2023.3322471
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Understanding Privacy Risks of High-Accuracy Radio Positioning and Sensing in Wireless Networks,2-s2.0-85179801568,10.1109/MCOM.004.2300090
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Personalized Privacy Preservation in Consumer Mobile Trajectories,2-s2.0-85189528150,10.1287/isre.2023.1227
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,May the privacy be with us: Correlated differential privacy in location data for ITS,2-s2.0-85184080776,10.1016/j.comnet.2024.110214
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Enhancing Trajectory Data Privacy through Information Gain-Fused Semantic Generalization,2-s2.0-85214795893,10.1109/ICSES63445.2024.10762992
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Trajectory Privacy Protection Method Based on Differential Privacy in Crowdsensing,2-s2.0-85214525838,10.1109/TSC.2024.3455104
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Heuristic Approach Based on a K-Means Algorithm to Reduce the Cost of Macroscopic Fundamental Diagram Estimation,2-s2.0-85209377036,10.1177/03611981241292344
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Colossal Trajectory Mining Semantic Co-movement Pattern Mining,2-s2.0-85202010909,
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Imporved on Qiu's shemes to resist long-term observation attacks with semantic attributes of location,2-s2.0-85199039866,10.1109/CSCWD61410.2024.10580447
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Protecting Personalized Trajectory with Differential Privacy under Temporal Correlations,2-s2.0-85198848904,10.1109/WCNC57260.2024.10571250
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Reciprocal Bucketization (RB) - An Efficient Data Anonymization Model for Smart Hospital Data Publishing,2-s2.0-85185324120,10.14569/IJACSA.2024.01501123
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Crowdsourcing Geospatial Data for Earth and Human Observations: A Review,2-s2.0-85183974976,10.34133/remotesensing.0105
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,HyObscure: Hybrid Obscuring for Privacy-Preserving Data Publishing,2-s2.0-85177058760,10.1109/TKDE.2023.3331568
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Evolutionary Dynamic Database Partitioning Optimization for Privacy and Utility,2-s2.0-85167802153,10.1109/TDSC.2023.3302284
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,PUTS: Privacy-Preserving and Utility-Enhancing Framework for Trajectory Synthesization,2-s2.0-85162871531,10.1109/TKDE.2023.3288154
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Towards Anonymizing Intermodal Mobility Data for Smart Cities,2-s2.0-85179892785,10.1145/3615889.3628514
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,DP-TrajGAN: A privacy-aware trajectory generation model with differential privacy,2-s2.0-85145256040,10.1016/j.future.2022.12.027
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Privacy-Preserving Method for Trajectory Data Publication Based on Local Preferential Anonymity,2-s2.0-85151097067,10.3390/info14030157
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,FedVAE: Trajectory privacy preserving based on Federated Variational AutoEncoder,2-s2.0-85181173731,10.1109/VTC2023-Fall60731.2023.10333794
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Except-Condition Generative Adversarial Network for Generating Trajectory Data,2-s2.0-85174704562,10.1007/978-3-031-39821-6_23
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Differentially Private Map Matching for Mobility Trajectories,2-s2.0-85144019298,10.1145/3564625.3567974
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Generation of Synthetic Trajectory Microdata from Language Models,2-s2.0-85138804472,10.1007/978-3-031-13945-1_13
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,10.1109/ICDE53745.2022.00175
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Mining hourly population dynamics by activity type based on decomposition of sequential snapshot data,2-s2.0-85136226665,10.1080/17538947.2022.2110290
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Towards a Federated Learning Approach for Privacy-aware Analysis of Semantically Enriched Mobility Data,2-s2.0-85110326989,10.1145/3452369.3463823
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,An Efficient Approach for Spatial Trajectory Anonymization,2-s2.0-85121922321,10.1007/978-3-030-90888-1_44
Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516,VOOL: A modular insight-based framework for vocalizing OLAP sessions,2-s2.0-85211035819,10.1016/j.is.2024.102496
Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516,Explaining cube measures through Intentional Analytics,2-s2.0-85180538265,10.1016/j.is.2023.102338
Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516,The Whys and Wherefores of Cubes,2-s2.0-85153334849,
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Unmanned Ground Vehicles for Continuous Crop Monitoring in Agriculture: Assessing the Readiness of Current ICT Technology,2-s2.0-85210579307,10.3390/machines12110750
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Change Management for the Sustainable Development of the Agrarian Economy of Artificial Intelligence,2-s2.0-85188175446,10.1007/s40171-024-00383-2
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Development of an Improved GWO Algorithm for Solving Optimal Paths in Complex Vertical Farms with Multi-Robot Multi-Tasking,2-s2.0-85202652900,10.3390/agriculture14081372
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Environmental performance of an autonomous laser weeding robot—a case study,2-s2.0-85189980784,10.1007/s11367-024-02295-w
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,THE IMPORTANCE OF ECO-INNOVATIVE WEED CONTROL USING LASER TECHNOLOGY IN CREATING SUSTAINABLE AGRICULTURE IN THE EUROPEAN UNION. SOCIO-ECONOMIC PERSPECTIVE,2-s2.0-85194170579,10.34659/eis.2024.88.1.741
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Potential of Eco-Weeding with High-Power Laser Adoption from the Farmers’ Perspective,2-s2.0-85189024970,10.3390/su16062353
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Key technologies and research progress of intelligent weeding robots,2-s2.0-85213071438,10.1017/wsc.2024.95
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,The Narratives of Transparency in Food Supply Chain Digitalisation: A Systematic Literature Review,2-s2.0-85204610597,10.1007/978-3-031-72234-9_36
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Deployment and Verification of Custom Autonomous Low-Budget IoT Devices for Image Feature Extraction in Wheat,2-s2.0-85203491921,10.1109/ACCESS.2024.3453993
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,A Mission Planner for Autonomous Tasks in Farms,2-s2.0-85193285450,10.1007/978-3-031-59167-9_30
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Laser weed seed control: challenges and opportunities,2-s2.0-85189899989,10.3389/fagro.2024.1342372
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,An Efficient Guiding Manager for Ground Mobile Robots in Agriculture,2-s2.0-85183395253,10.3390/robotics13010006
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Enabling Autonomous Navigation on the Farm: A Mission Planner for Agricultural Tasks,2-s2.0-85180699125,10.3390/agriculture13122181
Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005,Crop Identification and Growth Stage Determination for Autonomous Navigation of Agricultural Robots,2-s2.0-85180469070,10.3390/agronomy13122873
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035,Interactive Hyperparameter Optimization in Multi-Objective Problems via Preference Learning,2-s2.0-85189622290,10.1609/aaai.v38i11.29106
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035,AutoClues: Exploring Clustering Pipelines via AutoML and Diversification,2-s2.0-85192544367,10.1007/978-981-97-2242-6_20
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035,Data Preprocessing Using AutoML: A Survey,2-s2.0-85191174113,10.1109/CSCE60160.2023.00265
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035,Machine Learning-Based Modelling in Atomic Layer Deposition Processes,2-s2.0-85180065616,10.1201/9781003346234
Describing and Assessing Cubes Through Intentional Analytics,2-s2.0-85165002810,10.48786/edbt.2023.69,,,
On the Optimization of Query Plans in Multistores (Discussion Paper),2-s2.0-85173485992,,,,
Using Regression to Explain Cube Measures,2-s2.0-85173478290,,,,
Fine-grained Soil Moisture Monitoring with PLUTO,2-s2.0-85173428371,,,,
Streaming Approach to Schema Profiling,2-s2.0-85172020306,10.1007/978-3-031-42941-5_19,,,
"Data Platform Design, Management, and Optimization (DATAPLAT)",2-s2.0-85158975690,,,,
The Whys and Wherefores of Cubes,2-s2.0-85153334849,,VOOL: A modular insight-based framework for vocalizing OLAP sessions,2-s2.0-85211035819,10.1016/j.is.2024.102496
The Whys and Wherefores of Cubes,2-s2.0-85153334849,,Explaining cube measures through Intentional Analytics,2-s2.0-85180538265,10.1016/j.is.2023.102338
The Whys and Wherefores of Cubes,2-s2.0-85153334849,,Using Regression to Explain Cube Measures,2-s2.0-85173478290,
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,DP-LTGAN: Differentially private trajectory publishing via Locally-aware Transformer-based GAN,2-s2.0-85214117771,10.1016/j.future.2024.107686
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Transfer-learning-based representation learning for trajectory similarity search,2-s2.0-85190360494,10.1007/s10707-024-00515-x
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Efficient Frequency-Based Randomization for Spatial Trajectories Under Differential Privacy,2-s2.0-85174857113,10.1109/TKDE.2023.3322471
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Learning to Hash for Trajectory Similarity Computation and Search,2-s2.0-85200487230,10.1109/ICDE60146.2024.00342
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,DUTD: A Deeper Understanding of Trajectory Data for User Identity Linkage,2-s2.0-85197297885,10.1007/978-981-97-2303-4_4
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Leveraging user itinerary to improve personalized deep matching at Fliggy,2-s2.0-85149039992,10.1007/s00778-023-00787-z
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,"Spatial Data Quality in the Internet of Things: Management, Exploitation, and Prospects",2-s2.0-85137576224,10.1145/3498338
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Information Resilience: the nexus of responsible and agile approaches to information use,2-s2.0-85123164859,10.1007/s00778-021-00720-2
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Spatial Data Quality in the IoT Era: Management and Exploitation,2-s2.0-85132711904,10.1145/3514221.3522568
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Mutual Distillation Learning Network for Trajectory-User Linking,2-s2.0-85137872696,10.24963/ijcai.2022/274
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,10.1109/ICDE53745.2022.00175
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,An Efficient Approach for Spatial Trajectory Anonymization,2-s2.0-85121922321,10.1007/978-3-030-90888-1_44
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Process-driven design of cloud data platforms,2-s2.0-85216873928,10.1016/j.is.2025.102527
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,An auto-tuning process-based 3D model to forecast irrigation demand in kiwifruit,2-s2.0-85212101165,10.1016/j.ecoinf.2024.102947
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Development of a pipeline robot for high-throughput monitoring plant root characteristics and soil moisture in root zone,2-s2.0-85194397904,10.11975/j.issn.1002-6819.202401160
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Comparing quasi-3D soil moisture derived from electromagnetic induction with 1D moisture sensors and correlation to barley yield in variable duplex soil,2-s2.0-85176949684,10.1016/j.still.2023.105953
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Environmental and Agricultural Applications of Sensors,2-s2.0-85206183730,10.1007/978-3-031-47180-3_50
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,"Wireless Sensor Networks and IoT Applied to Fruit Tree Cultivation in Boyacá, Colombia: An Innovative Approach in Agriculture",2-s2.0-85203826924,10.18687/LACCEI2024.1.1.1092
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Towards a Process-Driven Design of Data Platforms,2-s2.0-85188658537,
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Evaluation of the Accuracy of the Remote Determination of the Brewster Angle When Measuring Physicochemical Parameters of Soil,2-s2.0-85180497388,10.3390/agriengineering5040116
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Optimization algorithm for determining working water head of subsurface irrigation with ceramic emitters based on soil wetting patterns,2-s2.0-85166665907,10.1016/j.compag.2023.108069
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Internet-of-Things-Based Multiple-Sensor Monitoring System for Soil Information Diagnosis Using a Smartphone,2-s2.0-85166187482,10.3390/mi14071395
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,A pipeline robot system for monitoring soil water content distribution,2-s2.0-85153035011,10.1016/j.jhydrol.2023.129526
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Model Application for Estimation of Agri-Environmental Indicators of Kiwi Production: A Case Study in Northern Greece,2-s2.0-85153930157,10.3390/environments10040069
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Fine-grained Soil Moisture Monitoring with PLUTO,2-s2.0-85173428371,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,VOOL: A modular insight-based framework for vocalizing OLAP sessions,2-s2.0-85211035819,10.1016/j.is.2024.102496
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Interestingness Measures for Exploratory Data Analysis: a Survey,2-s2.0-85210151391,10.1007/978-3-031-70421-5_2
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,"Cube query interestingness: Novelty, relevance, peculiarity and surprise",2-s2.0-85188815289,10.1016/j.is.2024.102381
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Ocean-DC: An analysis ready data cube framework for environmental and climate change monitoring over the port areas,2-s2.0-85198085340,10.1145/3652037.3663913
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Insights into commonalities of a sample: A visualization framework to explore unusual subset-dataset relationships,2-s2.0-85188808893,10.1016/j.datak.2024.102299
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Explaining cube measures through Intentional Analytics,2-s2.0-85180538265,10.1016/j.is.2023.102338
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Breaking the 80:20 rule in health research using large administrative data sets,2-s2.0-85160881368,10.1177/14604582231180581
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Describing and Assessing Cubes Through Intentional Analytics,2-s2.0-85165002810,10.48786/edbt.2023.69
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Using Regression to Explain Cube Measures,2-s2.0-85173478290,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Assessment Methods for the Interestingness of Cube Queries,2-s2.0-85153354053,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,The Whys and Wherefores of Cubes,2-s2.0-85153334849,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Advances on Data Management and Information Systems,2-s2.0-85125529748,10.1007/s10796-021-10235-4
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Insight-Based Vocalization of OLAP Sessions,2-s2.0-85137993971,10.1007/978-3-031-15740-0_15
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Describing Multidimensional Data Through Highlights (Discussion Paper),2-s2.0-85137469232,
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Explaining cube measures through Intentional Analytics,2-s2.0-85180538265,10.1016/j.is.2023.102338
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,T&TRS: robust collaborative filtering recommender systems against attacks,2-s2.0-85171481610,10.1007/s11042-023-16641-x
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Methodology for a Business Intelligence Platform by Using Oracle 19C Database Engine and its Limitations,2-s2.0-85208021175,10.1007/978-3-031-70300-3_5
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Business-Driven Data Recommender System: Design and Implementation,2-s2.0-85165494524,10.1080/08874417.2023.2237450
